candidate_id,rank,score,reasoning
CAND_0015493,13,0.4696,"Currently Data Scientist at CRED. Moderate semantic alignment (0.58) with the Senior AI Engineer role. 6 YoE sits in the JD's ideal 5–9 year band. Relevant skills: Semantic Search, TensorFlow, NLP. Positive: primarily product-company career trajectory. Available in 30 days, matching JD's sub-30-day preference."
CAND_0066035,14,0.4494,"Currently Data Scientist at Razorpay. Moderate semantic alignment (0.58) with the Senior AI Engineer role. 7 YoE sits in the JD's ideal 5–9 year band. Strong JD skill coverage including Information Retrieval, NLP, LLMs, and Learning to Rank."
CAND_0010541,15,0.4462,"Currently AI Research Engineer at Wysa. Moderate semantic alignment (0.61) with the Senior AI Engineer role. 6 YoE sits in the JD's ideal 5–9 year band. Strong JD skill coverage including Pinecone, Weaviate, Python, and Qdrant. Positive: primarily product-company career trajectory."
CAND_0076482,16,0.4373,"Currently ML Engineer at Flipkart. Moderate semantic alignment (0.50) with the Senior AI Engineer role. 7 YoE sits in the JD's ideal 5–9 year band. Strong JD skill coverage including OpenSearch, Pinecone, pgvector, and Embeddings."
CAND_0003791,17,0.434,"Currently ML Engineer at Meesho. Moderate semantic alignment (0.56) with the Senior AI Engineer role. 7 YoE sits in the JD's ideal 5–9 year band. Strong JD skill coverage including LLMs, Hugging Face Transformers, PyTorch, and pgvector. Positive: primarily product-company career trajectory."
CAND_0098288,18,0.433,"Currently Junior ML Engineer at Vedantu. Moderate semantic alignment (0.57) with the Senior AI Engineer role. 7 YoE sits in the JD's ideal 5–9 year band. Strong JD skill coverage including Learning to Rank, Information Retrieval, RAG, and NLP. Positive: primarily product-company career trajectory."
CAND_0018888,19,0.4319,"Currently AI Research Engineer at Razorpay. Moderate semantic alignment (0.58) with the Senior AI Engineer role. 6 YoE sits in the JD's ideal 5–9 year band. Relevant skills: Information Retrieval, pgvector, LLMs. Positive: primarily product-company career trajectory. Available in 30 days, matching JD's sub-30-day preference."
CAND_0058412,20,0.4047,"Currently Senior Software Engineer (ML) at InMobi. Moderate semantic alignment (0.59) with the Senior AI Engineer role. 7 YoE sits in the JD's ideal 5–9 year band. Strong JD skill coverage including Embeddings, Milvus, Fine-tuning LLMs, and RAG. Positive: primarily product-company career trajectory."
CAND_0049540,21,0.3912,"Currently ML Engineer at Saarthi.ai. Moderate semantic alignment (0.56) with the Senior AI Engineer role. 7 YoE sits in the JD's ideal 5–9 year band. Relevant skills: TensorFlow, pgvector, Deep Learning. Positive: primarily product-company career trajectory."
CAND_0072925,22,0.3901,"Currently Cloud Engineer at Mindtree. Lower semantic overlap (0.46) with core JD requirements. 6 YoE sits in the JD's ideal 5–9 year band. Has Elasticsearch experience but limited additional JD-matching skills. Available in 30 days, matching JD's sub-30-day preference."
CAND_0091745,23,0.3887,"Currently Junior ML Engineer at Locobuzz. Moderate semantic alignment (0.56) with the Senior AI Engineer role. 6 YoE sits in the JD's ideal 5–9 year band. Strong JD skill coverage including Deep Learning, Embeddings, Fine-tuning LLMs, and Machine Learning. Positive: primarily product-company career trajectory. Available in 30 days, matching JD's sub-30-day preference."
CAND_0081846,24,0.3849,"Currently Lead AI Engineer at Razorpay. High profile-to-JD semantic match (0.67) indicating strong retrieval/ranking alignment. 7 YoE sits in the JD's ideal 5–9 year band. Strong JD skill coverage including Information Retrieval, pgvector, Learning to Rank, and Elasticsearch. Positive: primarily product-company career trajectory. Available in 30 days, matching JD's sub-30-day preference."
CAND_0007978,25,0.3751,"Currently Business Analyst at TCS. Moderate semantic alignment (0.51) with the Senior AI Engineer role. 8 YoE sits in the JD's ideal 5–9 year band. Strong JD skill coverage including Vector Search, RAG, Sentence Transformers, and Semantic Search. Available in 30 days, matching JD's sub-30-day preference."
CAND_0022870,26,0.3696,"Currently AI Specialist at HCL. Moderate semantic alignment (0.61) with the Senior AI Engineer role. 7 YoE sits in the JD's ideal 5–9 year band. Strong JD skill coverage including Information Retrieval, Semantic Search, Elasticsearch, and Qdrant. Majority consulting-firm tenure; JD leans towards product-company experience."
CAND_0073982,27,0.3669,"Currently Data Scientist at Dream11. Moderate semantic alignment (0.52) with the Senior AI Engineer role. 7 YoE sits in the JD's ideal 5–9 year band. Strong JD skill coverage including Sentence Transformers, Qdrant, RAG, and FAISS."
CAND_0079447,28,0.3565,"Currently Mechanical Engineer at Dunder Mifflin. Moderate semantic alignment (0.53) with the Senior AI Engineer role. 7 YoE sits in the JD's ideal 5–9 year band. Strong JD skill coverage including FAISS, Information Retrieval, Fine-tuning LLMs, and Hugging Face Transformers. Positive: primarily product-company career trajectory. Available in 30 days, matching JD's sub-30-day preference."
CAND_0017171,29,0.3526,"Currently Analytics Engineer at Meesho. Lower semantic overlap (0.46) with core JD requirements. 7 YoE sits in the JD's ideal 5–9 year band. Relevant skills: Sentence Transformers, Semantic Search. Positive: primarily product-company career trajectory. Available in 30 days, matching JD's sub-30-day preference."
CAND_0027096,30,0.3474,"Currently Software Engineer at Mindtree. Lower semantic overlap (0.46) with core JD requirements. 7 YoE sits in the JD's ideal 5–9 year band. Has Deep Learning experience but limited additional JD-matching skills. Available in 30 days, matching JD's sub-30-day preference."
CAND_0013702,31,0.3204,"Currently Data Engineer at Nykaa. Lower semantic overlap (0.45) with core JD requirements. 8 YoE sits in the JD's ideal 5–9 year band. Relevant skills: LLMs, FAISS, Recommendation Systems. Available in 30 days, matching JD's sub-30-day preference."
CAND_0040443,32,0.3093,"Currently Analytics Engineer at upGrad. Lower semantic overlap (0.46) with core JD requirements. 7 YoE sits in the JD's ideal 5–9 year band. Relevant skills: Vector Search, Deep Learning, Qdrant. Available in 30 days, matching JD's sub-30-day preference."
CAND_0091229,33,0.2998,"Currently Senior Software Engineer (ML) at Niramai. Moderate semantic alignment (0.59) with the Senior AI Engineer role. 7 YoE sits in the JD's ideal 5–9 year band. Relevant skills: FAISS, Elasticsearch, Qdrant. Positive: primarily product-company career trajectory."
CAND_0007567,34,0.2949,"Currently AI Specialist at Niramai. Moderate semantic alignment (0.59) with the Senior AI Engineer role. 6 YoE sits in the JD's ideal 5–9 year band. Strong JD skill coverage including Fine-tuning LLMs, NLP, LLMs, and FAISS. Positive: primarily product-company career trajectory."
CAND_0020721,35,0.2861,"Currently Data Engineer at Capgemini. Lower semantic overlap (0.46) with core JD requirements. 7 YoE sits in the JD's ideal 5–9 year band. Relevant skills: Embeddings, FAISS. Available in 30 days, matching JD's sub-30-day preference."
CAND_0032279,36,0.2859,"Currently Java Developer at Flipkart. Lower semantic overlap (0.41) with core JD requirements. 7 YoE sits in the JD's ideal 5–9 year band. Relevant skills: Deep Learning, Elasticsearch. Available in 30 days, matching JD's sub-30-day preference."
CAND_0010257,37,0.2827,"Currently Senior Data Scientist at Google. Moderate semantic alignment (0.60) with the Senior AI Engineer role. 6 YoE sits in the JD's ideal 5–9 year band. Strong JD skill coverage including Milvus, TensorFlow, Python, and OpenSearch. Positive: primarily product-company career trajectory. Notice period of 120 days may delay onboarding."
CAND_0004830,38,0.2686,"Currently QA Engineer at CRED. Lower semantic overlap (0.49) with core JD requirements. 6 YoE sits in the JD's ideal 5–9 year band. Has Fine-tuning LLMs experience but limited additional JD-matching skills. Positive: primarily product-company career trajectory. Available in 30 days, matching JD's sub-30-day preference."
CAND_0073671,39,0.2662,"Currently Mechanical Engineer at Dunder Mifflin. Moderate semantic alignment (0.54) with the Senior AI Engineer role. 7 YoE sits in the JD's ideal 5–9 year band. Strong JD skill coverage including LLMs, Semantic Search, Information Retrieval, and Embeddings. Positive: primarily product-company career trajectory."
CAND_0002120,40,0.2652,"Currently ML Engineer at HCL. Moderate semantic alignment (0.58) with the Senior AI Engineer role. 6 YoE sits in the JD's ideal 5–9 year band. Strong JD skill coverage including RAG, Hugging Face Transformers, Information Retrieval, and Pinecone."
CAND_0054100,41,0.2494,"Currently Junior ML Engineer at Zoho. Moderate semantic alignment (0.57) with the Senior AI Engineer role. 6 YoE sits in the JD's ideal 5–9 year band. Strong JD skill coverage including Vector Search, Semantic Search, Deep Learning, and Pinecone. Positive: primarily product-company career trajectory."
CAND_0036666,42,0.2367,"Currently QA Engineer at Stark Industries. Lower semantic overlap (0.49) with core JD requirements. 6 YoE sits in the JD's ideal 5–9 year band. Few directly JD-matching skills listed. Positive: primarily product-company career trajectory. Available in 30 days, matching JD's sub-30-day preference."
CAND_0030946,43,0.2348,"Currently Junior ML Engineer at Yellow.ai. Moderate semantic alignment (0.60) with the Senior AI Engineer role. 7 YoE sits in the JD's ideal 5–9 year band. Strong JD skill coverage including Learning to Rank, Machine Learning, Elasticsearch, and OpenSearch."
CAND_0093193,44,0.224,"Currently Senior Machine Learning Engineer at Niramai. Moderate semantic alignment (0.56) with the Senior AI Engineer role. 8 YoE sits in the JD's ideal 5–9 year band. Strong JD skill coverage including Ranking Systems, Vector Representations, Qdrant, and OpenSearch. Positive: primarily product-company career trajectory."
CAND_0039983,45,0.2231,"Currently Computer Vision Engineer at Meesho. Lower semantic overlap (0.47) with core JD requirements. 7 YoE sits in the JD's ideal 5–9 year band. Relevant skills: Machine Learning, Recommendation Systems, Fine-tuning LLMs."
CAND_0094728,46,0.2184,"Currently AI Specialist at Swiggy. Moderate semantic alignment (0.62) with the Senior AI Engineer role. 6 YoE sits in the JD's ideal 5–9 year band. Strong JD skill coverage including OpenSearch, pgvector, LLMs, and RAG. Positive: primarily product-company career trajectory. Available in 30 days, matching JD's sub-30-day preference."
CAND_0020484,47,0.2181,"Currently Business Analyst at Globex Inc. Lower semantic overlap (0.48) with core JD requirements. 7 YoE sits in the JD's ideal 5–9 year band. Strong JD skill coverage including Pinecone, Fine-tuning LLMs, Vector Search, and Recommendation Systems. Positive: primarily product-company career trajectory. Available in 30 days, matching JD's sub-30-day preference."
CAND_0056011,48,0.2035,"Currently Software Engineer at HCL. Lower semantic overlap (0.46) with core JD requirements. 6 YoE sits in the JD's ideal 5–9 year band. Has pgvector experience but limited additional JD-matching skills. Available in 30 days, matching JD's sub-30-day preference."
CAND_0070514,49,0.2027,"Currently AI Specialist at Glance. Moderate semantic alignment (0.62) with the Senior AI Engineer role. 6 YoE sits in the JD's ideal 5–9 year band. Relevant skills: Pinecone, Python, FAISS. Positive: primarily product-company career trajectory."
CAND_0075249,50,0.1983,"Currently Applied ML Engineer at Zomato. Moderate semantic alignment (0.62) with the Senior AI Engineer role. 6 YoE sits in the JD's ideal 5–9 year band. Strong JD skill coverage including Sentence Transformers, Milvus, Machine Learning, and Fine-tuning LLMs. Positive: primarily product-company career trajectory."
CAND_0052994,51,0.1817,"Currently HR Manager at Stark Industries. Moderate semantic alignment (0.53) with the Senior AI Engineer role. 7 YoE sits in the JD's ideal 5–9 year band. Strong JD skill coverage including Information Retrieval, Semantic Search, LLMs, and Sentence Transformers. Available in 30 days, matching JD's sub-30-day preference."
CAND_0025640,52,0.1727,"Currently AI Research Engineer at HCL. Moderate semantic alignment (0.60) with the Senior AI Engineer role. 6 YoE sits in the JD's ideal 5–9 year band. Strong JD skill coverage including Semantic Search, Information Retrieval, FAISS, and PyTorch. Available in 30 days, matching JD's sub-30-day preference."
CAND_0032887,53,0.17,"Currently ML Engineer at Niramai. Moderate semantic alignment (0.57) with the Senior AI Engineer role. 6 YoE sits in the JD's ideal 5–9 year band. Relevant skills: Hugging Face Transformers, NLP, Qdrant. Positive: primarily product-company career trajectory."
CAND_0020845,54,0.1622,"Currently AI Research Engineer at Swiggy. Moderate semantic alignment (0.61) with the Senior AI Engineer role. 7 YoE sits in the JD's ideal 5–9 year band. Relevant skills: Pinecone, Milvus, Elasticsearch."
CAND_0021706,55,0.1508,"Currently AI Specialist at TCS. Moderate semantic alignment (0.61) with the Senior AI Engineer role. 6 YoE sits in the JD's ideal 5–9 year band. Relevant skills: Recommendation Systems, Machine Learning, NLP."
CAND_0052195,56,0.1462,"Currently Computer Vision Engineer at Sarvam AI. Lower semantic overlap (0.48) with core JD requirements. 6 YoE sits in the JD's ideal 5–9 year band. Relevant skills: Sentence Transformers, Information Retrieval, NLP. Positive: primarily product-company career trajectory. Available in 30 days, matching JD's sub-30-day preference."
CAND_0013112,57,0.1446,"Currently Senior Software Engineer at Freshworks. Moderate semantic alignment (0.51) with the Senior AI Engineer role. 7 YoE sits in the JD's ideal 5–9 year band. Relevant skills: Learning to Rank, Vector Search, Qdrant. Available in 30 days, matching JD's sub-30-day preference."
CAND_0088240,58,0.1405,"Currently Content Writer at Hooli. Lower semantic overlap (0.46) with core JD requirements. 8 YoE sits in the JD's ideal 5–9 year band. Strong JD skill coverage including LLMs, Semantic Search, Pinecone, and Hugging Face Transformers. Available in 30 days, matching JD's sub-30-day preference."
CAND_0008425,59,0.1361,"Currently Senior NLP Engineer at Ola. High profile-to-JD semantic match (0.69) indicating strong retrieval/ranking alignment. 8 YoE sits in the JD's ideal 5–9 year band. Strong JD skill coverage including Learning to Rank, Qdrant, pgvector, and Sentence Transformers. Positive: primarily product-company career trajectory. Notice period of 90 days may delay onboarding."
CAND_0017516,60,0.1297,"Currently Senior Data Engineer at Zomato. Lower semantic overlap (0.48) with core JD requirements. 7 YoE sits in the JD's ideal 5–9 year band. Has Embeddings experience but limited additional JD-matching skills. Available in 30 days, matching JD's sub-30-day preference."
CAND_0030953,61,0.1137,"Currently Search Engineer at Nykaa. Moderate semantic alignment (0.61) with the Senior AI Engineer role. 8 YoE sits in the JD's ideal 5–9 year band. Strong JD skill coverage including Learning to Rank, Qdrant, Python, and Hugging Face Transformers. Positive: primarily product-company career trajectory."
CAND_0087228,62,0.1086,"Currently Software Engineer at Mindtree. Lower semantic overlap (0.48) with core JD requirements. 6 YoE sits in the JD's ideal 5–9 year band. Relevant skills: Qdrant, Machine Learning, LLMs. Available in 30 days, matching JD's sub-30-day preference."
CAND_0018282,63,0.1069,"Currently Backend Engineer at Cognizant. Lower semantic overlap (0.48) with core JD requirements. 7 YoE sits in the JD's ideal 5–9 year band. Relevant skills: NLP, Hugging Face Transformers, RAG. Majority consulting-firm tenure; JD leans towards product-company experience. Available in 30 days, matching JD's sub-30-day preference."
CAND_0047302,64,0.1045,"Currently Software Engineer at Wipro. Lower semantic overlap (0.47) with core JD requirements. 8 YoE sits in the JD's ideal 5–9 year band. Relevant skills: Recommendation Systems, TensorFlow. Majority consulting-firm tenure; JD leans towards product-company experience. Available in 30 days, matching JD's sub-30-day preference."
CAND_0067866,65,0.1044,"Currently Senior Software Engineer (ML) at Tech Mahindra. Moderate semantic alignment (0.54) with the Senior AI Engineer role. 6 YoE sits in the JD's ideal 5–9 year band. Relevant skills: Embeddings, pgvector, Elasticsearch."
CAND_0020017,66,0.1042,"Currently Senior Software Engineer at Unacademy. Lower semantic overlap (0.47) with core JD requirements. 7 YoE sits in the JD's ideal 5–9 year band. Relevant skills: Machine Learning, Fine-tuning LLMs, Hugging Face Transformers. Positive: primarily product-company career trajectory. Available in 30 days, matching JD's sub-30-day preference."
CAND_0016510,67,0.1021,"Currently QA Engineer at Wipro. Lower semantic overlap (0.45) with core JD requirements. 6 YoE sits in the JD's ideal 5–9 year band. Few directly JD-matching skills listed. Available in 30 days, matching JD's sub-30-day preference."
CAND_0038949,68,0.1019,"Currently ML Engineer at CRED. Moderate semantic alignment (0.54) with the Senior AI Engineer role. 6 YoE sits in the JD's ideal 5–9 year band. Strong JD skill coverage including pgvector, Elasticsearch, Hugging Face Transformers, and NLP. Notice period of 120 days may delay onboarding."
CAND_0032311,69,0.0966,"Currently Cloud Engineer at Pied Piper. Lower semantic overlap (0.47) with core JD requirements. 6 YoE sits in the JD's ideal 5–9 year band. Relevant skills: Milvus, Vector Search. Available in 30 days, matching JD's sub-30-day preference."
CAND_0044248,70,0.0946,"Currently Junior ML Engineer at upGrad. Moderate semantic alignment (0.57) with the Senior AI Engineer role. 7 YoE sits in the JD's ideal 5–9 year band. Relevant skills: Hugging Face Transformers, Vector Search, Sentence Transformers. Positive: primarily product-company career trajectory. Notice period of 120 days may delay onboarding."
CAND_0080124,71,0.0904,"Currently Data Analyst at Capgemini. Lower semantic overlap (0.43) with core JD requirements. 7 YoE sits in the JD's ideal 5–9 year band. Has RAG experience but limited additional JD-matching skills. Majority consulting-firm tenure; JD leans towards product-company experience. Available in 30 days, matching JD's sub-30-day preference."
CAND_0032216,72,0.0888,"Currently ML Engineer at upGrad. Moderate semantic alignment (0.58) with the Senior AI Engineer role. 6 YoE sits in the JD's ideal 5–9 year band. Strong JD skill coverage including Learning to Rank, Information Retrieval, PyTorch, and Qdrant. Positive: primarily product-company career trajectory. Available in 30 days, matching JD's sub-30-day preference."
CAND_0058317,73,0.0827,"Currently DevOps Engineer at Stark Industries. Lower semantic overlap (0.47) with core JD requirements. 6 YoE sits in the JD's ideal 5–9 year band. Has Weaviate experience but limited additional JD-matching skills. Positive: primarily product-company career trajectory. Available in 30 days, matching JD's sub-30-day preference."
CAND_0088335,74,0.0808,"Currently AI Research Engineer at Tech Mahindra. Moderate semantic alignment (0.62) with the Senior AI Engineer role. 6 YoE sits in the JD's ideal 5–9 year band. Relevant skills: Hugging Face Transformers, Machine Learning, Weaviate. Available in 30 days, matching JD's sub-30-day preference."
CAND_0034925,75,0.0764,"Currently Data Engineer at Initech. Lower semantic overlap (0.46) with core JD requirements. 7 YoE sits in the JD's ideal 5–9 year band. Relevant skills: Elasticsearch, Python, pgvector. Available in 30 days, matching JD's sub-30-day preference."
CAND_0000165,76,0.0742,"Currently AI Specialist at Mad Street Den. Moderate semantic alignment (0.61) with the Senior AI Engineer role. 7 YoE sits in the JD's ideal 5–9 year band. Strong JD skill coverage including Information Retrieval, Semantic Search, Vector Search, and Qdrant. Positive: primarily product-company career trajectory. Notice period of 120 days may delay onboarding."
CAND_0063027,77,0.073,"Currently HR Manager at Wayne Enterprises. Moderate semantic alignment (0.55) with the Senior AI Engineer role. 7 YoE sits in the JD's ideal 5–9 year band. Few directly JD-matching skills listed. Positive: primarily product-company career trajectory. Available in 30 days, matching JD's sub-30-day preference."
CAND_0064609,78,0.0664,"Currently Senior Software Engineer at Dunder Mifflin. Lower semantic overlap (0.49) with core JD requirements. 7 YoE sits in the JD's ideal 5–9 year band. Relevant skills: Hugging Face Transformers, Machine Learning, OpenSearch. Majority consulting-firm tenure; JD leans towards product-company experience. Available in 30 days, matching JD's sub-30-day preference."
CAND_0092354,79,0.0635,"Currently Full Stack Developer at Infosys. Lower semantic overlap (0.41) with core JD requirements. 7 YoE sits in the JD's ideal 5–9 year band. Relevant skills: Embeddings, Fine-tuning LLMs."
CAND_0046698,80,0.0607,"Currently Graphic Designer at Dunder Mifflin. Lower semantic overlap (0.44) with core JD requirements. 7 YoE sits in the JD's ideal 5–9 year band. Strong JD skill coverage including Vector Search, Recommendation Systems, Pinecone, and RAG. Positive: primarily product-company career trajectory. Available in 30 days, matching JD's sub-30-day preference."
CAND_0071321,81,0.0601,"Currently Senior Software Engineer at Meesho. Moderate semantic alignment (0.52) with the Senior AI Engineer role. 6 YoE sits in the JD's ideal 5–9 year band. Relevant skills: Qdrant, Semantic Search, Weaviate. Positive: primarily product-company career trajectory."
CAND_0001930,82,0.0571,"Currently Senior Software Engineer (ML) at Dream11. Moderate semantic alignment (0.56) with the Senior AI Engineer role. 7 YoE sits in the JD's ideal 5–9 year band. Strong JD skill coverage including Machine Learning, NLP, Embeddings, and Milvus. Positive: primarily product-company career trajectory. Notice period of 120 days may delay onboarding."
CAND_0015362,83,0.0543,"Currently Software Engineer at Dunder Mifflin. Lower semantic overlap (0.47) with core JD requirements. 7 YoE sits in the JD's ideal 5–9 year band. Relevant skills: Information Retrieval, RAG. Available in 30 days, matching JD's sub-30-day preference."
CAND_0054194,84,0.0536,"Currently Sales Executive at Wipro. Lower semantic overlap (0.42) with core JD requirements. 8 YoE sits in the JD's ideal 5–9 year band. Strong JD skill coverage including LLMs, Pinecone, RAG, and Vector Search. Majority consulting-firm tenure; JD leans towards product-company experience. Available in 30 days, matching JD's sub-30-day preference."
CAND_0041118,85,0.0528,Currently Senior Data Engineer at InMobi. Lower semantic overlap (0.47) with core JD requirements. 7 YoE sits in the JD's ideal 5–9 year band. Has pgvector experience but limited additional JD-matching skills.
CAND_0016163,86,0.0509,"Currently Applied ML Engineer at Dream11. Moderate semantic alignment (0.53) with the Senior AI Engineer role. 7 YoE sits in the JD's ideal 5–9 year band. Strong JD skill coverage including Hugging Face Transformers, Weaviate, Deep Learning, and TensorFlow. Positive: primarily product-company career trajectory. Notice period of 120 days may delay onboarding."
CAND_0092832,87,0.0498,"Currently Java Developer at Pied Piper. Lower semantic overlap (0.45) with core JD requirements. 7 YoE sits in the JD's ideal 5–9 year band. Relevant skills: Information Retrieval, TensorFlow. Available in 30 days, matching JD's sub-30-day preference."
CAND_0013141,88,0.0494,"Currently Frontend Engineer at Acme Corp. Lower semantic overlap (0.47) with core JD requirements. 6 YoE sits in the JD's ideal 5–9 year band. Has Hugging Face Transformers experience but limited additional JD-matching skills. Available in 30 days, matching JD's sub-30-day preference."
CAND_0066479,89,0.0487,"Currently Senior Software Engineer at Flipkart. Lower semantic overlap (0.49) with core JD requirements. 6 YoE sits in the JD's ideal 5–9 year band. Relevant skills: Hugging Face Transformers, Information Retrieval, TensorFlow. Positive: primarily product-company career trajectory. Available in 30 days, matching JD's sub-30-day preference."
CAND_0070398,90,0.0307,"Currently Machine Learning Engineer at Genpact AI. Moderate semantic alignment (0.60) with the Senior AI Engineer role. 7 YoE sits in the JD's ideal 5–9 year band. Strong JD skill coverage including RAG, FAISS, Embeddings, and PyTorch. Positive: primarily product-company career trajectory. Notice period of 120 days may delay onboarding."
CAND_0080488,91,0.0305,"Currently QA Engineer at TCS. Lower semantic overlap (0.49) with core JD requirements. 7 YoE sits in the JD's ideal 5–9 year band. Few directly JD-matching skills listed. Available in 30 days, matching JD's sub-30-day preference."
CAND_0087187,92,0.028,"Currently DevOps Engineer at Infosys. Lower semantic overlap (0.48) with core JD requirements. 6 YoE sits in the JD's ideal 5–9 year band. Few directly JD-matching skills listed. Majority consulting-firm tenure; JD leans towards product-company experience. Available in 30 days, matching JD's sub-30-day preference."
CAND_0017093,93,0.0223,"Currently ML Engineer at Zoho. Moderate semantic alignment (0.55) with the Senior AI Engineer role. 6 YoE sits in the JD's ideal 5–9 year band. Relevant skills: LLMs, Embeddings, pgvector. Positive: primarily product-company career trajectory. Available in 30 days, matching JD's sub-30-day preference."
CAND_0060257,94,0.0217,"Currently AI Specialist at Paytm. Moderate semantic alignment (0.61) with the Senior AI Engineer role. 6 YoE sits in the JD's ideal 5–9 year band. Strong JD skill coverage including Recommendation Systems, Vector Search, Milvus, and OpenSearch. Positive: primarily product-company career trajectory."
CAND_0016317,95,0.0179,"Currently Project Manager at Acme Corp. Lower semantic overlap (0.47) with core JD requirements. 6 YoE sits in the JD's ideal 5–9 year band. Strong JD skill coverage including Semantic Search, FAISS, Recommendation Systems, and Information Retrieval. Positive: primarily product-company career trajectory."
CAND_0073007,96,0.0169,"Currently AI Specialist at Aganitha. Moderate semantic alignment (0.59) with the Senior AI Engineer role. 6 YoE sits in the JD's ideal 5–9 year band. Strong JD skill coverage including Milvus, PyTorch, Embeddings, and FAISS. Positive: primarily product-company career trajectory."
CAND_0057364,97,0.0157,"Currently HR Manager at Hooli. Moderate semantic alignment (0.50) with the Senior AI Engineer role. 7 YoE sits in the JD's ideal 5–9 year band. Few directly JD-matching skills listed. Positive: primarily product-company career trajectory. Available in 30 days, matching JD's sub-30-day preference."
CAND_0064888,98,0.008,"Currently ML Engineer at Verloop.io. Moderate semantic alignment (0.56) with the Senior AI Engineer role. 6 YoE sits in the JD's ideal 5–9 year band. Strong JD skill coverage including Embeddings, Learning to Rank, TensorFlow, and pgvector. Available in 30 days, matching JD's sub-30-day preference."
CAND_0026147,99,0.0007,"Currently Cloud Engineer at Pied Piper. Lower semantic overlap (0.48) with core JD requirements. 7 YoE sits in the JD's ideal 5–9 year band. Few directly JD-matching skills listed. Available in 30 days, matching JD's sub-30-day preference."
CAND_0036474,100,0.0,"Currently Analytics Engineer at Mindtree. Lower semantic overlap (0.44) with core JD requirements. 7 YoE sits in the JD's ideal 5–9 year band. Relevant skills: OpenSearch, LLMs, FAISS. Available in 30 days, matching JD's sub-30-day preference."
